molecular_weight,logP,TPSA,H_bond_donors,H_bond_acceptors,rotatable_bonds,ring_count,label
401.8460000000001,3.9703000000000026,87.07000000000001,2.0,4.0,2.0,4.0,1.0
1022.2389999999997,2.3235000000000117,231.19999999999996,4.0,14.0,10.0,9.0,1.0
301.3860000000001,2.9568000000000003,72.72,4.0,4.0,7.0,2.0,1.0
144.177,2.1111,24.39,1.0,2.0,0.0,2.0,1.0
511.50800000000044,-3.7812999999999954,225.5,5.0,11.0,10.0,3.0,1.0
648.2000000000004,6.900200000000009,111.00999999999999,1.0,8.0,12.0,4.0,1.0
308.50600000000003,6.363000000000007,26.3,0.0,2.0,15.0,0.0,1.0
177.03,2.4857000000000005,20.23,1.0,1.0,1.0,1.0,1.0
650.9759999999999,3.9527000000000014,92.78,3.0,4.0,5.0,2.0,1.0
255.25199999999998,3.2461200000000012,51.81,0.0,4.0,2.0,3.0,1.0
667.765,5.813700000000006,117.98999999999998,0.0,10.0,8.0,7.0,1.0
282.4642035559999,5.884500000000005,37.3,1.0,1.0,14.0,0.0,1.0
686.8090000000004,6.700100000000008,114.25,1.0,9.0,11.0,6.0,1.0
359.3780000000001,2.3862000000000005,83.09,1.0,7.0,4.0,3.0,1.0
402.49100000000027,2.2947999999999995,106.94000000000001,3.0,4.0,8.0,3.0,1.0
196.22400000000002,3.474000000000002,0.0,0.0,0.0,1.0,2.0,1.0
307.38999999999993,4.324400000000003,39.19,0.0,4.0,5.0,2.0,1.0
611.8530000000003,4.702300000000004,120.23000000000002,0.0,11.0,6.0,2.0,1.0
279.427,4.476900000000004,3.24,0.0,1.0,3.0,3.0,1.0
139.17599999999996,-0.7769999999999995,80.39,2.0,3.0,3.0,0.0,1.0
544.5820000000003,5.918300000000006,71.44,1.0,4.0,3.0,5.0,1.0
256.536,5.1856,0.0,0.0,8.0,0.0,1.0,1.0
401.55391600200016,5.081000000000005,82.19,3.0,3.0,2.0,3.0,1.0
244.72199999999998,1.5836,44.120000000000005,0.0,4.0,3.0,2.0,1.0
174.203,1.7992,32.67,0.0,2.0,1.0,2.0,1.0
346.46700000000004,2.6667000000000014,74.6,2.0,4.0,2.0,4.0,1.0
524.9540000000004,1.9780999999999997,174.48,4.0,9.0,10.0,2.0,1.0
112.05999999999997,-4.878899999999999,60.36,1.0,3.0,1.0,0.0,1.0
527.6180000000003,2.5342000000000002,139.03999999999996,2.0,8.0,1.0,3.0,1.0
914.1869999999997,6.180600000000006,195.42999999999995,3.0,13.0,6.0,4.0,1.0
515.9940000000004,4.099600000000003,111.01,1.0,8.0,9.0,3.0,1.0
467.6500000000002,4.413800000000005,62.16000000000001,2.0,5.0,4.0,8.0,1.0
312.44199999999995,3.4392200000000024,30.870000000000005,1.0,5.0,0.0,4.0,1.0
105.09299999999999,-1.6094000000000002,83.55000000000001,3.0,3.0,2.0,0.0,1.0
252.27300000000005,1.7696,58.199999999999996,2.0,2.0,2.0,3.0,1.0
197.19,0.05219999999999947,103.78000000000002,4.0,4.0,3.0,1.0,1.0
388.42000000000013,3.201800000000002,107.77,1.0,7.0,6.0,2.0,1.0
2933.491999999998,-7.964489999999908,1158.7200000000007,42.0,39.0,93.0,9.0,1.0
445.9030000000002,3.707200000000003,102.67,2.0,6.0,3.0,4.0,1.0
429.944407112,3.353200000000002,78.82,2.0,5.0,5.0,5.0,1.0
236.274,3.3872000000000018,46.33,1.0,1.0,0.0,3.0,1.0
176.21900000000002,1.3749,33.2,0.0,2.0,1.0,2.0,1.0
216.19199999999998,2.5478000000000005,52.58,0.0,4.0,1.0,3.0,1.0
440.46300000000014,4.028600000000002,118.80999999999999,2.0,7.0,7.0,5.0,1.0
422.4490000000002,1.7323999999999993,135.95,3.0,9.0,7.0,4.0,1.0
456.3220000000001,4.245200000000002,90.93,1.0,7.0,7.0,2.0,1.0
567.0600000000004,3.199600000000002,154.25,3.0,9.0,9.0,3.0,1.0
195.251,-0.16910000000000014,89.32,3.0,4.0,2.0,1.0,1.0
1793.125,4.49520000000002,560.98,20.0,28.0,19.0,15.0,1.0
310.518203556,6.363000000000007,26.3,0.0,2.0,15.0,0.0,1.0
414.3460000000002,3.4407000000000023,59.59,2.0,4.0,7.0,2.0,1.0
424.54400000000004,5.004780000000005,64.33,1.0,3.0,7.0,4.0,1.0
1989.1130000000003,2.6380000000000208,716.5000000000001,26.0,30.0,19.0,15.0,1.0
346.33900000000006,2.1756,107.77000000000001,1.0,7.0,4.0,2.0,1.0
306.37300000000005,3.466380000000002,83.18,1.0,5.0,4.0,4.0,1.0
364.276,4.193200000000004,28.07,0.0,4.0,0.0,4.0,1.0
370.4490000000002,1.2533999999999996,103.86000000000001,3.0,5.0,3.0,5.0,1.0
385.829,-0.20339999999999936,144.23,3.0,5.0,4.0,3.0,1.0
268.216,-1.5665000000000002,102.26,4.0,5.0,2.0,2.0,1.0
418.4460000000002,2.9708000000000014,117.0,1.0,8.0,8.0,2.0,1.0
185.22600000000003,2.1459200000000003,22.0,0.0,2.0,1.0,2.0,1.0
479.5330000000003,3.677800000000003,111.01,1.0,8.0,9.0,3.0,1.0
354.9250000000001,4.942700000000005,6.48,0.0,2.0,2.0,4.0,1.0
610.7110000000004,4.953000000000006,114.25,1.0,9.0,10.0,5.0,1.0
323.465610668,3.238100000000002,38.77,0.0,4.0,6.0,3.0,1.0
371.39300000000014,2.5822000000000003,103.55,1.0,8.0,4.0,3.0,1.0
